K,Betha,Alpha,P,Q,PurePercent
3,0.5,0.015,0.03,0.024,22.3820471966443
3,0.5,0.015,0.03,0.027,21.1182548983072
3,0.5,0.015,0.03,0.03,20.8815132788801
3,0.5,0.015,0.04,0,100
3,0.5,0.015,0.04,0.004,44.6346533984061
3,0.5,0.015,0.04,0.008,31.8585999666245
3,0.5,0.015,0.04,0.012,26.7703841639316
3,0.5,0.015,0.04,0.016,22.6184840663561
3,0.5,0.015,0.04,0.02,19.2200972312222
3,0.5,0.015,0.04,0.024,18.6973875920554
3,0.5,0.015,0.04,0.028,17.0485276145457
3,0.5,0.015,0.04,0.032,17.3597206574666
3,0.5,0.015,0.04,0.036,17.0829450798621
3,0.5,0.015,0.04,0.04,16.1811715885331
3,0.5,0.015,0.05,0,100
3,0.5,0.015,0.05,0.005,40.03992326909
3,0.5,0.015,0.05,0.01,27.1314574959562
3,0.5,0.015,0.05,0.015,19.7085363077626
3,0.5,0.015,0.05,0.02,17.2974331319519
3,0.5,0.015,0.05,0.025,17.1902524288502
3,0.5,0.015,0.05,0.03,14.7531254684116
3,0.5,0.015,0.05,0.035,14.8340322032935
3,0.5,0.015,0.05,0.04,14.560192879063
3,0.5,0.015,0.05,0.045,13.3978407684868
3,0.5,0.015,0.05,0.05,13.1376673146134
3,0.5,0.015,0.06,0,100
3,0.5,0.015,0.06,0.006,36.4222009028916
3,0.5,0.015,0.06,0.012,21.8618910908724
3,0.5,0.015,0.06,0.018,18.377949390297
3,0.5,0.015,0.06,0.024,15.3870652101656
3,0.5,0.015,0.06,0.03,13.4933093884541
3,0.5,0.015,0.06,0.036,12.4143105417505
3,0.5,0.015,0.06,0.042,10.9954306977829
3,0.5,0.015,0.06,0.048,11.7002573515754
3,0.5,0.015,0.06,0.054,11.8689785852031
3,0.5,0.015,0.06,0.06,10.1259378471295
3,0.5,0.015,0.07,0,100
3,0.5,0.015,0.07,0.007,30.710965053884
3,0.5,0.015,0.07,0.014,20.2112108279126
3,0.5,0.015,0.07,0.021,14.9139702791907
3,0.5,0.015,0.07,0.028,14.0456054492035
3,0.5,0.015,0.07,0.035,10.2704100709518
3,0.5,0.015,0.07,0.042,10.0905487972809
3,0.5,0.015,0.07,0.049,10.3014501221069
3,0.5,0.015,0.07,0.056,9.6669645418913
3,0.5,0.015,0.07,0.063,9.56827196804693
3,0.5,0.015,0.07,0.07,9.5295609355657
3,0.5,0.015,0.08,0,100
